DATE_TIME,USERS,CPU,MEM,DISK,PROCESS
06/26/2020 15:30,32,6.05,0.0752671,205981654,1727
06/26/2020 15:45,31,6.05,0.0754686,205984699,1729
06/26/2020 16:00,30,6.05,0.0752749,205987611,1721
06/26/2020 16:15,27,6.05,0.0750258,205988179,1707
06/26/2020 16:30,28,6.05,0.0765766,205991448,1716
06/26/2020 16:45,28,6.05,0.0750076,206002852,1700
06/26/2020 17:00,28,6.05,0.0749359,206015834,1701
06/26/2020 17:15,27,6.05,0.0748692,206019284,1695
06/26/2020 17:30,27,6.05,0.0748659,206020355,1695
06/26/2020 17:45,27,6.05,0.0748236,206024439,1694
06/26/2020 18:00,28,6.05,0.0749475,206025334,1691
06/26/2020 18:15,27,6.05,0.0747562,206024276,1693
06/26/2020 18:30,27,6.05,0.0749406,206026633,1688
06/26/2020 18:45,28,6.05,0.0750404,206027474,1699
06/26/2020 19:00,27,6.05,0.0749802,206027958,1700
06/26/2020 19:15,27,6.05,0.075038,206030393,1706
06/26/2020 19:30,28,6.05,0.0752894,206033010,1709
06/26/2020 19:45,26,6.04,0.0751983,206032339,1706
06/26/2020 20:00,25,6.04,0.0747105,206033574,1699
06/26/2020 20:15,26,6.04,0.0743585,206033917,1695
06/26/2020 20:30,23,6.04,0.0741068,206034598,1689
06/26/2020 20:45,23,6.04,0.0741383,206035498,1686
06/26/2020 21:00,23,6.04,0.0742259,206036779,1687
06/26/2020 21:15,24,6.04,0.0741653,206037293,1688
06/26/2020 21:30,25,6.04,0.0742066,206039857,1688
06/26/2020 21:45,23,6.04,0.0741275,206039580,1680
06/26/2020 22:00,23,6.04,0.0747052,206043155,1694
06/26/2020 22:15,23,6.04,0.0742895,205842423,1674
06/26/2020 22:30,25,6.04,0.0743401,205019432,1683
06/26/2020 22:45,24,6.04,0.0742084,204127726,1680
06/26/2020 23:00,25,6.04,0.0743517,204129639,1689
06/26/2020 23:15,22,6.04,0.0740983,204128407,1677
06/26/2020 23:30,19,6.04,0.0739775,204130447,1667
06/26/2020 23:45,19,6.04,0.0740562,204132116,1674
06/27/2020 00:00,19,6.04,0.0739832,204136665,1670
06/27/2020 00:15,18,6.03,0.0753702,204012174,1682
06/27/2020 00:30,16,6.03,0.0733566,204012290,1654
